BencFunc,MeanMin,STD,CMFunc
Ackley     ,2.3609,6.0366,Gauss-Gauss
Ackley     ,0.28014,0.58576,Bernoulli-Bernoulli
Ackley     ,1.2436,1.1089,Logistic-Logistic
Ackley     ,0.55408,0.72567,Singer-Singer
Fletcher   ,4814.6655,5576.3278,Gauss-Gauss
Fletcher   ,1960.1078,2083.6158,Bernoulli-Bernoulli
Fletcher   ,2934.9113,2610.2725,Logistic-Logistic
Fletcher   ,7577.586,7473.0996,Singer-Singer
Griewank   ,0.16944,0.077314,Gauss-Gauss
Griewank   ,0.047255,0.024163,Bernoulli-Bernoulli
Griewank   ,0.067494,0.04415,Logistic-Logistic
Griewank   ,0.061863,0.032668,Singer-Singer
Quartic    ,9.18E-19,3.84E-18,Gauss-Gauss
Quartic    ,0.00068668,0.0030627,Bernoulli-Bernoulli
Quartic    ,1.68E-08,6.23E-08,Logistic-Logistic
Rastrigin  ,14.6332,8.2614,Gauss-Gauss
Quartic    ,3.12E-05,9.53E-05,Singer-Singer
Rastrigin  ,16.4168,5.3774,Bernoulli-Bernoulli
Rastrigin  ,21.6403,8.1911,Logistic-Logistic
Rosenbrock ,6.7219,2.6989,Gauss-Gauss
Rastrigin  ,12.2877,5.4139,Singer-Singer
Rosenbrock ,16.4399,18.8198,Bernoulli-Bernoulli
Schwefel226,553.615,133.3195,Gauss-Gauss
Rosenbrock ,11.4475,10.8742,Logistic-Logistic
Rosenbrock ,15.3735,16.0589,Singer-Singer
Schwefel226,1449.6691,236.6248,Bernoulli-Bernoulli
Sphere     ,1.40E-10,1.77E-10,Gauss-Gauss
Schwefel226,1084.6354,270.7282,Logistic-Logistic
Step       ,6.9,4.5757,Gauss-Gauss
Schwefel226,1349.3311,283.6441,Singer-Singer
Sphere     ,1.87E-14,2.93E-14,Bernoulli-Bernoulli
Sphere     ,8.62E-14,1.75E-13,Logistic-Logistic
Ackley     ,6.3878,5.8759,Circle
Step       ,1.05,0.75915,Bernoulli-Bernoulli
Sphere     ,1.22E-14,1.66E-14,Singer-Singer
Step       ,3.3,1.4546,Logistic-Logistic
Ackley     ,1.3584,1.0389,randn
Fletcher   ,6517.9026,7331.0853,Circle
Step       ,0.75,0.7864,Singer-Singer
Fletcher   ,2894.0182,4111.0942,randn
Griewank   ,0.10471,0.042303,Circle
Ackley     ,0.11552,0.35555,ICMIC-ICMIC
Ackley     ,0.45374,0.74951,Piecewise-Piecewise
Griewank   ,0.058421,0.02609,randn
Quartic    ,0.013802,0.038081,Circle
Fletcher   ,6731.0796,8486.0709,ICMIC-ICMIC
Quartic    ,3.85E-08,1.72E-07,randn
Fletcher   ,4954.1524,5141.8188,Piecewise-Piecewise
Rastrigin  ,27.1945,11.5748,Circle
Rastrigin  ,22.4363,10.1439,randn
Griewank   ,0.069976,0.037697,Piecewise-Piecewise
Griewank   ,0.061,0.040665,ICMIC-ICMIC
Rosenbrock ,22.615,35.6176,Circle
Rosenbrock ,15.7034,18.1361,randn
Schwefel226,1101.0614,312.0494,randn
Schwefel226,782.1211,210.765,Circle
Quartic    ,3.35E-05,7.54E-05,Piecewise-Piecewise
Quartic    ,1.40E-06,5.53E-06,ICMIC-ICMIC
Sphere     ,2.54E-13,9.03E-13,randn
Sphere     ,0.25855,0.46936,Circle
Rastrigin  ,17.2128,6.9091,Piecewise-Piecewise
Step       ,2.65,1.4244,randn
Rastrigin  ,17.561,6.6413,ICMIC-ICMIC
Step       ,13.55,14.4858,Circle
Ackley     ,0.6188,0.72016,rand-rand
Rosenbrock ,10.4745,6.6124,Piecewise-Piecewise
Ackley     ,1.1851,0.99247,Chebyshev
Rosenbrock ,20.7251,26.1735,ICMIC-ICMIC
Fletcher   ,3594.2604,4725.8882,rand-rand
Schwefel226,1421.0435,336.8277,Piecewise-Piecewise
Fletcher   ,4219.8261,5406.3195,Chebyshev
Griewank   ,0.052425,0.042152,rand-rand
Schwefel226,1354.4446,322.2247,ICMIC-ICMIC
Sphere     ,4.54E-14,1.22E-13,Piecewise-Piecewise
Griewank   ,0.042271,0.027105,Chebyshev
Quartic    ,6.39E-05,0.00028575,rand-rand
Step       ,1.05,0.82558,Piecewise-Piecewise
Sphere     ,1.22E-14,7.70E-15,ICMIC-ICMIC
Rastrigin  ,13.1334,4.5377,rand-rand
Quartic    ,7.75E-07,3.16E-06,Chebyshev
Step       ,0.6,0.68056,ICMIC-ICMIC
Ackley     ,0.57621,0.79721,Sinus-Sinus
Rosenbrock ,8.2702,3.9127,rand-rand
Rastrigin  ,17.3123,3.7003,Chebyshev
Ackley     ,0.59381,0.78751,GaussMap-GaussMap
Schwefel226,1345.9498,258.7326,rand-rand
Fletcher   ,3681.0177,3631.4974,Sinus-Sinus
Rosenbrock ,12.4724,17.0086,Chebyshev
Sphere     ,3.23E-14,6.44E-14,rand-rand
Fletcher   ,2884.9627,4462.4401,GaussMap-GaussMap
Step       ,1,0.72548,rand-rand
Griewank   ,0.051732,0.02911,Sinus-Sinus
Schwefel226,1280.2208,282.8855,Chebyshev
